Unnamed: 0,Tåguppdrag,Datum_PAU,Tågslag,Tågsort,UppehållstypAvgång,UppehållstypAnkomst,AktivitetskodAvgång,AktivitetskodBeskrivningAvgång,AktivitetskodAnkomst,AktivitetskodBeskrivningAnkomst,DelSträckanummer,Förstaplatssignatur_för_Uppdrag,Sistaplatssignatur_för_Uppdrag,Avgångsplats,Avgångsplatssignatur,Ankomstplats,Ankomstplatssignatur,PlanAvgTid,PlanAnkTid,UtfAnkTid,UtfAvgTid,PlanAnkTid_vid_AvgPlats,UtfAnkTid_vid_AvgPlats,PlanUppehållstidAvgång,UtfUppehållstidAvgång,PlanGångtid,UtfGångtid,FörseningGångtid,AvgFörsening,AnkFörsening,FörseningUppehållAvgång
1813111,802,3/6/2019,RST,REGION,Passage,Passage,0,-,0,-,2,Cst,U,Karlberg,Ke,Tomteboda övre,Tmö,43:00.0,44:00.0,43:00.0,42:00.0,43:00.0,42:00.0,0,0,1,1,0,-1,-1,0
1828224,802,3/6/2019,RST,REGION,Passage,Passage,0,-,0,-,3,Cst,U,Tomteboda övre,Tmö,Solna,So,44:00.0,45:00.0,44:00.0,43:00.0,44:00.0,43:00.0,0,0,1,1,0,-1,-1,0
2563457,802,3/6/2019,RST,REGION,Passage,Passage,0,-,0,-,4,Cst,U,Solna,So,Ulriksdal,Udl,45:00.0,46:00.0,45:00.0,44:00.0,45:00.0,44:00.0,0,0,1,1,0,-1,-1,0
1586226,802,3/6/2019,RST,REGION,Passage,Passage,0,-,0,-,5,Cst,U,Ulriksdal,Udl,Helenelund,Hel,46:00.0,48:00.0,47:00.0,45:00.0,46:00.0,45:00.0,0,0,2,2,0,-1,-1,0
907315,802,3/6/2019,RST,REGION,Passage,Passage,0,-,0,-,6,Cst,U,Helenelund,Hel,Kummelby,Kmy,48:00.0,48:00.0,47:00.0,47:00.0,48:00.0,47:00.0,0,0,0,0,0,-1,-1,0
1995524,802,3/6/2019,RST,REGION,Passage,Passage,0,-,0,-,7,Cst,U,Kummelby,Kmy,Sollentuna,Sol,48:00.0,48:00.0,48:00.0,47:00.0,48:00.0,47:00.0,0,0,0,1,1,-1,0,0
293507,802,3/6/2019,RST,REGION,Passage,Passage,0,-,0,-,8,Cst,U,Sollentuna,Sol,Häggvik,Hgv,48:00.0,49:00.0,48:00.0,48:00.0,48:00.0,48:00.0,0,0,1,0,-1,0,-1,0
1000433,802,3/6/2019,RST,REGION,Passage,Passage,0,-,0,-,9,Cst,U,Häggvik,Hgv,Norrviken,Nvk,49:00.0,50:00.0,49:00.0,48:00.0,49:00.0,48:00.0,0,0,1,1,0,-1,-1,0
2448780,802,3/6/2019,RST,REGION,Passage,Passage,0,-,0,-,10,Cst,U,Norrviken,Nvk,Rotebro,R,50:00.0,51:00.0,49:00.0,49:00.0,50:00.0,49:00.0,0,0,1,0,-1,-1,-2,0
1249191,802,3/6/2019,RST,REGION,Passage,Passage,0,-,0,-,11,Cst,U,Rotebro,R,Upplands Väsby,Upv,51:00.0,53:00.0,52:00.0,49:00.0,51:00.0,49:00.0,0,0,2,3,1,-2,-1,0
2574975,802,3/6/2019,RST,REGION,Passage,Passage,0,-,0,-,12,Cst,U,Upplands Väsby,Upv,Skavstaby,Skby,53:00.0,54:00.0,54:00.0,52:00.0,53:00.0,52:00.0,0,0,1,2,1,-1,0,0
1134492,802,3/6/2019,RST,REGION,Passage,Passage,0,-,0,-,13,Cst,U,Skavstaby,Skby,Rosersberg,Rs,54:00.0,57:00.0,56:00.0,54:00.0,54:00.0,54:00.0,0,0,3,2,-1,0,-1,0
1620344,802,3/6/2019,RST,REGION,Passage,Passage,0,-,0,-,14,Cst,U,Rosersberg,Rs,Brista,Bra,57:00.0,58:00.0,57:00.0,56:00.0,57:00.0,56:00.0,0,0,1,1,0,-1,-1,0
1811976,802,3/6/2019,RST,REGION,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,15,Cst,U,Brista,Bra,Märsta,Mr,58:00.0,00:00.0,58:00.0,57:00.0,58:00.0,57:00.0,0,0,2,1,-1,-1,-2,0
730839,802,3/6/2019,RST,REGION,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,16,Cst,U,Märsta,Mr,Myrbacken,Myn,01:00.0,05:00.0,04:00.0,00:00.0,00:00.0,58:00.0,1,2,4,4,0,-1,-1,1
1159045,802,3/6/2019,RST,REGION,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,17,Cst,U,Myrbacken,Myn,Knivsta,Kn,05:00.0,07:00.0,07:00.0,04:00.0,05:00.0,04:00.0,0,0,2,3,1,-1,0,0
239594,802,3/6/2019,RST,REGION,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,18,Cst,U,Knivsta,Kn,Ekeby,Eby,08:00.0,12:00.0,11:00.0,08:00.0,07:00.0,07:00.0,1,1,4,3,-1,0,-1,0
2119459,802,3/6/2019,RST,REGION,Passage,Passage,0,-,0,-,19,Cst,U,Ekeby,Eby,Säby,Säy,12:00.0,14:00.0,14:00.0,11:00.0,12:00.0,11:00.0,0,0,2,3,1,-1,0,0
2526978,802,3/6/2019,RST,REGION,Passage,Sista,0,-,10,Avstigande av resande,20,Cst,U,Säby,Säy,Uppsala c,U,14:00.0,18:00.0,17:00.0,14:00.0,14:00.0,14:00.0,0,0,4,3,-1,0,-1,0
645579,802,3/7/2019,RST,REGION,Första,Passage,1,Påstigande av resande,0,-,1,Cst,U,Stockholm C,Cst,Karlberg,Ke,40:00.0,43:00.0,42:00.0,39:00.0,,,,,3,3,0,-1,-1,
1195783,802,3/7/2019,RST,REGION,Passage,Passage,0,-,0,-,2,Cst,U,Karlberg,Ke,Tomteboda övre,Tmö,43:00.0,44:00.0,44:00.0,42:00.0,43:00.0,42:00.0,0,0,1,2,1,-1,0,0
2004778,802,3/7/2019,RST,REGION,Passage,Passage,0,-,0,-,3,Cst,U,Tomteboda övre,Tmö,Solna,So,44:00.0,45:00.0,45:00.0,44:00.0,44:00.0,44:00.0,0,0,1,1,0,0,0,0
2076037,802,3/7/2019,RST,REGION,Passage,Passage,0,-,0,-,4,Cst,U,Solna,So,Ulriksdal,Udl,45:00.0,46:00.0,46:00.0,45:00.0,45:00.0,45:00.0,0,0,1,1,0,0,0,0
2449808,802,3/7/2019,RST,REGION,Passage,Passage,0,-,0,-,5,Cst,U,Ulriksdal,Udl,Helenelund,Hel,46:00.0,48:00.0,47:00.0,46:00.0,46:00.0,46:00.0,0,0,2,1,-1,0,-1,0
1895445,802,3/7/2019,RST,REGION,Passage,Passage,0,-,0,-,6,Cst,U,Helenelund,Hel,Kummelby,Kmy,48:00.0,48:00.0,48:00.0,47:00.0,48:00.0,47:00.0,0,0,0,1,1,-1,0,0
2500839,802,3/7/2019,RST,REGION,Passage,Passage,0,-,0,-,7,Cst,U,Kummelby,Kmy,Sollentuna,Sol,48:00.0,48:00.0,49:00.0,48:00.0,48:00.0,48:00.0,0,0,0,1,1,0,1,0
1558489,802,3/7/2019,RST,REGION,Passage,Passage,0,-,0,-,8,Cst,U,Sollentuna,Sol,Häggvik,Hgv,48:00.0,49:00.0,50:00.0,49:00.0,48:00.0,49:00.0,0,0,1,1,0,1,1,0
1604564,802,3/7/2019,RST,REGION,Passage,Passage,0,-,0,-,9,Cst,U,Häggvik,Hgv,Norrviken,Nvk,49:00.0,50:00.0,50:00.0,50:00.0,49:00.0,50:00.0,0,0,1,0,-1,1,0,0
850339,802,3/7/2019,RST,REGION,Passage,Passage,0,-,0,-,10,Cst,U,Norrviken,Nvk,Rotebro,R,50:00.0,51:00.0,50:00.0,50:00.0,50:00.0,50:00.0,0,0,1,0,-1,0,-1,0
2360910,802,3/7/2019,RST,REGION,Passage,Passage,0,-,0,-,11,Cst,U,Rotebro,R,Upplands Väsby,Upv,51:00.0,53:00.0,53:00.0,50:00.0,51:00.0,50:00.0,0,0,2,3,1,-1,0,0
1870587,802,3/7/2019,RST,REGION,Passage,Passage,0,-,0,-,12,Cst,U,Upplands Väsby,Upv,Skavstaby,Skby,53:00.0,54:00.0,54:00.0,53:00.0,53:00.0,53:00.0,0,0,1,1,0,0,0,0
1538041,802,3/7/2019,RST,REGION,Passage,Passage,0,-,0,-,13,Cst,U,Skavstaby,Skby,Rosersberg,Rs,54:00.0,57:00.0,56:00.0,54:00.0,54:00.0,54:00.0,0,0,3,2,-1,0,-1,0
1905058,802,3/7/2019,RST,REGION,Passage,Passage,0,-,0,-,14,Cst,U,Rosersberg,Rs,Brista,Bra,57:00.0,58:00.0,58:00.0,56:00.0,57:00.0,56:00.0,0,0,1,2,1,-1,0,0
144819,802,3/7/2019,RST,REGION,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,15,Cst,U,Brista,Bra,Märsta,Mr,58:00.0,00:00.0,59:00.0,58:00.0,58:00.0,58:00.0,0,0,2,1,-1,0,-1,0
423936,802,3/7/2019,RST,REGION,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,16,Cst,U,Märsta,Mr,Myrbacken,Myn,01:00.0,05:00.0,05:00.0,01:00.0,00:00.0,59:00.0,1,2,4,4,0,0,0,1
2143791,802,3/7/2019,RST,REGION,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,17,Cst,U,Myrbacken,Myn,Knivsta,Kn,05:00.0,07:00.0,07:00.0,05:00.0,05:00.0,05:00.0,0,0,2,2,0,0,0,0
1118067,802,3/7/2019,RST,REGION,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,18,Cst,U,Knivsta,Kn,Ekeby,Eby,08:00.0,12:00.0,12:00.0,09:00.0,07:00.0,07:00.0,1,2,4,3,-1,1,0,1
1252021,802,3/7/2019,RST,REGION,Passage,Passage,0,-,0,-,19,Cst,U,Ekeby,Eby,Säby,Säy,12:00.0,14:00.0,14:00.0,12:00.0,12:00.0,12:00.0,0,0,2,2,0,0,0,0
2526667,802,3/7/2019,RST,REGION,Passage,Sista,0,-,10,Avstigande av resande,20,Cst,U,Säby,Säy,Uppsala c,U,14:00.0,18:00.0,17:00.0,14:00.0,14:00.0,14:00.0,0,0,4,3,-1,0,-1,0
460098,802,3/8/2019,RST,REGION,Första,Passage,1,Påstigande av resande,0,-,1,Cst,U,Stockholm C,Cst,Karlberg,Ke,40:00.0,43:00.0,42:00.0,39:00.0,,,,,3,3,0,-1,-1,
1578001,802,3/8/2019,RST,REGION,Passage,Passage,0,-,0,-,2,Cst,U,Karlberg,Ke,Tomteboda övre,Tmö,43:00.0,44:00.0,43:00.0,42:00.0,43:00.0,42:00.0,0,0,1,1,0,-1,-1,0
1301327,802,3/8/2019,RST,REGION,Passage,Passage,0,-,0,-,3,Cst,U,Tomteboda övre,Tmö,Solna,So,44:00.0,45:00.0,44:00.0,43:00.0,44:00.0,43:00.0,0,0,1,1,0,-1,-1,0
137513,802,3/8/2019,RST,REGION,Passage,Passage,0,-,0,-,4,Cst,U,Solna,So,Ulriksdal,Udl,45:00.0,46:00.0,44:00.0,44:00.0,45:00.0,44:00.0,0,0,1,0,-1,-1,-2,0
2033038,802,3/8/2019,RST,REGION,Passage,Passage,0,-,0,-,5,Cst,U,Ulriksdal,Udl,Helenelund,Hel,46:00.0,48:00.0,46:00.0,44:00.0,46:00.0,44:00.0,0,0,2,2,0,-2,-2,0
2450116,802,3/8/2019,RST,REGION,Passage,Passage,0,-,0,-,6,Cst,U,Helenelund,Hel,Kummelby,Kmy,48:00.0,48:00.0,47:00.0,46:00.0,48:00.0,46:00.0,0,0,0,1,1,-2,-1,0
1544232,802,3/8/2019,RST,REGION,Passage,Passage,0,-,0,-,7,Cst,U,Kummelby,Kmy,Sollentuna,Sol,48:00.0,48:00.0,47:00.0,47:00.0,48:00.0,47:00.0,0,0,0,0,0,-1,-1,0
