,Tåguppdrag,Datum_PAU,Tågslag,Tågsort,UppehållstypAvgång,UppehållstypAnkomst,AktivitetskodAvgång,AktivitetskodBeskrivningAvgång,AktivitetskodAnkomst,AktivitetskodBeskrivningAnkomst,DelSträckanummer,Förstaplatssignatur_för_Uppdrag,Sistaplatssignatur_för_Uppdrag,Avgångsplats,Avgångsplatssignatur,Ankomstplats,Ankomstplatssignatur,PlanAvgTid,PlanAnkTid,UtfAnkTid,UtfAvgTid,PlanAnkTid_vid_AvgPlats,UtfAnkTid_vid_AvgPlats,PlanUppehållstidAvgång,UtfUppehållstidAvgång,PlanGångtid,UtfGångtid,FörseningGångtid,AvgFörsening,AnkFörsening,FörseningUppehållAvgång
1702484,1293,3/6/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,21,Lu,Y,Marsvinsholm,Mrh,Svarte,Ste,47:00.0,50:00.0,54:00.0,,47:00.0,50:00.0,0,,3,,,1,4,
1702779,1293,3/30/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,3,Lu,Y,Hjärup,Hjp,Åkarps norra,Åkn,57:00.0,58:00.0,49:00.0,47:00.0,56:00.0,25:00.0,1,22,1,2,1,50,51,21
1708312,1293,3/25/2019,RST,PENDEL,Passage,Sista,0,-,10,Avstigande av resande,23,Lu,Y,Vilhelmsborg,Vlb,Ystad,Y,52:00.0,56:00.0,54:00.0,50:00.0,52:00.0,50:00.0,0,0,4,4,0,-2,-2,0
1708313,1293,3/21/2019,RST,PENDEL,Passage,Sista,0,-,10,Avstigande av resande,23,Lu,Y,Vilhelmsborg,Vlb,Ystad,Y,52:00.0,56:00.0,54:00.0,50:00.0,52:00.0,50:00.0,0,0,4,4,0,-2,-2,0
1708314,1293,3/11/2019,RST,PENDEL,Passage,Sista,0,-,10,Avstigande av resande,23,Lu,Y,Vilhelmsborg,Vlb,Ystad,Y,52:00.0,56:00.0,54:00.0,50:00.0,52:00.0,50:00.0,0,0,4,4,0,-2,-2,0
1712227,1293,3/27/2019,RST,PENDEL,Passage,Passage,0,-,0,-,5,Lu,Y,Åkarp,Åk,Burlöv,Blv,58:00.0,00:00.0,59:00.0,58:00.0,58:00.0,58:00.0,0,0,2,1,-1,0,-1,0
1712232,1293,3/4/2019,RST,PENDEL,Passage,Passage,0,-,0,-,5,Lu,Y,Åkarp,Åk,Burlöv,Blv,58:00.0,00:00.0,59:00.0,58:00.0,58:00.0,58:00.0,0,0,2,1,-1,0,-1,0
1717743,1289,3/10/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,2,Lu,Y,Flackarp,Flp,Hjärup,Hjp,54:00.0,56:00.0,56:00.0,55:00.0,54:00.0,55:00.0,0,0,2,1,-1,1,0,0
1728585,1295,3/16/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,3,Lu,Y,Hjärup,Hjp,Åkarps norra,Åkn,57:00.0,58:00.0,58:00.0,57:00.0,56:00.0,56:00.0,1,1,1,1,0,0,0,0
1730795,1293,3/28/2019,RST,PENDEL,Passage,Passage,0,-,0,-,7,Lu,Y,Arlöv,Al,Malmö Godsbangård,Mgb,01:00.0,02:00.0,02:00.0,02:00.0,01:00.0,02:00.0,0,0,1,0,-1,1,0,0
1731454,1293,3/11/2019,RST,PENDEL,Passage,Passage,0,-,0,-,5,Lu,Y,Åkarp,Åk,Burlöv,Blv,58:00.0,00:00.0,59:00.0,57:00.0,58:00.0,57:00.0,0,0,2,2,0,-1,-1,0
1736096,1295,3/23/2019,RST,PENDEL,Passage,Passage,0,-,0,-,4,Lu,Y,Åkarps norra,Åkn,Åkarp,Åk,58:00.0,58:00.0,58:00.0,59:00.0,58:00.0,59:00.0,0,0,0,-1,-1,1,0,0
1736866,1295,3/23/2019,RST,PENDEL,Passage,Sista,0,-,10,Avstigande av resande,23,Lu,Y,Vilhelmsborg,Vlb,Ystad,Y,52:00.0,56:00.0,56:00.0,51:00.0,52:00.0,51:00.0,0,0,4,5,1,-1,0,0
1740786,1289,3/3/2019,RST,PENDEL,Passage,Passage,0,-,0,-,5,Lu,Y,Åkarp,Åk,Burlöv,Blv,58:00.0,00:00.0,59:00.0,58:00.0,58:00.0,58:00.0,0,0,2,1,-1,0,-1,0
1742225,1293,3/29/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,9,Lu,Y,Malmö c,M,Triangeln,Tri,07:00.0,09:00.0,13:00.0,11:00.0,05:00.0,08:00.0,2,3,2,2,0,4,4,1
1744965,1289,3/17/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,19,Lu,Y,Rydsgård,Rdg,Rynge,Rye,44:00.0,47:00.0,45:00.0,43:00.0,43:00.0,41:00.0,1,2,3,2,-1,-1,-2,1
1746401,1295,3/30/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,3,Lu,Y,Hjärup,Hjp,Åkarps norra,Åkn,57:00.0,58:00.0,58:00.0,58:00.0,56:00.0,56:00.0,1,2,1,0,-1,1,0,1
1756456,1293,3/2/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,13,Lu,Y,Lockarp,Lrp,Oxie,Ox,19:00.0,21:00.0,20:00.0,19:00.0,19:00.0,19:00.0,0,0,2,1,-1,0,-1,0
1757264,1293,3/6/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,16,Lu,Y,Svedala,Sea,Lemmeströ,Lmm,29:00.0,34:00.0,36:00.0,31:00.0,28:00.0,30:00.0,1,1,5,5,0,2,2,0
1759671,1293,3/27/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,8,Lu,Y,Malmö Godsbangård,Mgb,Malmö c,M,02:00.0,05:00.0,02:00.0,00:00.0,02:00.0,00:00.0,0,0,3,2,-1,-2,-3,0
1760948,1289,3/24/2019,RST,PENDEL,Första,Passage,1,Påstigande av resande,0,-,1,Lu,Y,Lund c,Lu,Flackarp,Flp,53:00.0,54:00.0,55:00.0,53:00.0,,,,,1,2,1,0,1,
1762018,1293,3/13/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,14,Lu,Y,Oxie,Ox,Skabersjö,Saö,22:00.0,24:00.0,23:00.0,20:00.0,21:00.0,19:00.0,1,1,2,3,1,-2,-1,0
1762548,1295,3/3/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,10,Lu,Y,Triangeln,Tri,Hyllie,Hie,10:00.0,14:00.0,12:00.0,10:00.0,09:00.0,09:00.0,1,1,4,2,-2,0,-2,0
1763168,1293,3/23/2019,RST,PENDEL,Passage,Passage,0,-,0,-,4,Lu,Y,Åkarps norra,Åkn,Åkarp,Åk,58:00.0,58:00.0,59:00.0,59:00.0,58:00.0,59:00.0,0,0,0,0,0,1,1,0
1775940,1293,3/2/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,8,Lu,Y,Malmö Godsbangård,Mgb,Malmö c,M,02:00.0,05:00.0,02:00.0,00:00.0,02:00.0,00:00.0,0,0,3,2,-1,-2,-3,0
1775941,1293,3/19/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,8,Lu,Y,Malmö Godsbangård,Mgb,Malmö c,M,02:00.0,05:00.0,02:00.0,00:00.0,02:00.0,00:00.0,0,0,3,2,-1,-2,-3,0
1775942,1293,3/11/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,8,Lu,Y,Malmö Godsbangård,Mgb,Malmö c,M,02:00.0,05:00.0,02:00.0,00:00.0,02:00.0,00:00.0,0,0,3,2,-1,-2,-3,0
1781022,1293,3/16/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,17,Lu,Y,Lemmeströ,Lmm,Skurup,Srp,34:00.0,38:00.0,39:00.0,34:00.0,34:00.0,34:00.0,0,0,4,5,1,0,1,0
1781023,1293,3/14/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,17,Lu,Y,Lemmeströ,Lmm,Skurup,Srp,34:00.0,38:00.0,39:00.0,34:00.0,34:00.0,34:00.0,0,0,4,5,1,0,1,0
1784254,1295,3/16/2019,RST,PENDEL,Passage,Passage,0,-,0,-,4,Lu,Y,Åkarps norra,Åkn,Åkarp,Åk,58:00.0,58:00.0,58:00.0,58:00.0,58:00.0,58:00.0,0,0,0,0,0,0,0,0
1785679,1291,3/3/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,9,Lu,Y,Malmö c,M,Triangeln,Tri,07:00.0,09:00.0,09:00.0,07:00.0,05:00.0,05:00.0,2,2,2,2,0,0,0,0
1790482,1293,3/4/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,3,Lu,Y,Hjärup,Hjp,Åkarps norra,Åkn,57:00.0,58:00.0,58:00.0,57:00.0,56:00.0,56:00.0,1,1,1,1,0,0,0,0
1790483,1293,3/19/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,3,Lu,Y,Hjärup,Hjp,Åkarps norra,Åkn,57:00.0,58:00.0,58:00.0,57:00.0,56:00.0,56:00.0,1,1,1,1,0,0,0,0
1791987,1295,3/17/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,3,Lu,Y,Hjärup,Hjp,Åkarps norra,Åkn,57:00.0,58:00.0,58:00.0,58:00.0,56:00.0,56:00.0,1,2,1,0,-1,1,0,1
1792810,1289,3/3/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,19,Lu,Y,Rydsgård,Rdg,Rynge,Rye,44:00.0,47:00.0,45:00.0,43:00.0,43:00.0,42:00.0,1,1,3,2,-1,-1,-2,0
1792970,1289,3/10/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,8,Lu,Y,Malmö Godsbangård,Mgb,Malmö c,M,02:00.0,05:00.0,03:00.0,00:00.0,02:00.0,00:00.0,0,0,3,3,0,-2,-2,0
1799613,1293,3/16/2019,RST,PENDEL,Passage,Passage,0,-,0,-,6,Lu,Y,Burlöv,Blv,Arlöv,Al,00:00.0,01:00.0,01:00.0,00:00.0,00:00.0,00:00.0,0,0,1,1,0,0,0,0
1805479,1293,3/21/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,3,Lu,Y,Hjärup,Hjp,Åkarps norra,Åkn,57:00.0,58:00.0,58:00.0,57:00.0,56:00.0,56:00.0,1,1,1,1,0,0,0,0
1805485,1293,3/12/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,3,Lu,Y,Hjärup,Hjp,Åkarps norra,Åkn,57:00.0,58:00.0,58:00.0,57:00.0,56:00.0,56:00.0,1,1,1,1,0,0,0,0
1808142,1295,3/30/2019,RST,PENDEL,Passage,Passage,0,-,0,-,4,Lu,Y,Åkarps norra,Åkn,Åkarp,Åk,58:00.0,58:00.0,58:00.0,58:00.0,58:00.0,58:00.0,0,0,0,0,0,0,0,0
1809901,1293,3/6/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,19,Lu,Y,Rydsgård,Rdg,Rynge,Rye,44:00.0,47:00.0,50:00.0,47:00.0,43:00.0,46:00.0,1,1,3,3,0,3,3,0
1814269,1295,3/2/2019,RST,PENDEL,Passage,Passage,0,-,0,-,7,Lu,Y,Arlöv,Al,Malmö Godsbangård,Mgb,01:00.0,02:00.0,01:00.0,01:00.0,01:00.0,01:00.0,0,0,1,0,-1,0,-1,0
1815547,1295,3/23/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,14,Lu,Y,Oxie,Ox,Skabersjö,Saö,22:00.0,24:00.0,23:00.0,21:00.0,21:00.0,20:00.0,1,1,2,2,0,-1,-1,0
1815548,1295,3/24/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,14,Lu,Y,Oxie,Ox,Skabersjö,Saö,22:00.0,24:00.0,23:00.0,21:00.0,21:00.0,20:00.0,1,1,2,2,0,-1,-1,0
1815549,1295,3/2/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,14,Lu,Y,Oxie,Ox,Skabersjö,Saö,22:00.0,24:00.0,23:00.0,21:00.0,21:00.0,20:00.0,1,1,2,2,0,-1,-1,0
1815550,1295,3/30/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,14,Lu,Y,Oxie,Ox,Skabersjö,Saö,22:00.0,24:00.0,23:00.0,21:00.0,21:00.0,20:00.0,1,1,2,2,0,-1,-1,0
1819923,1293,3/9/2019,RST,PENDEL,Passage,Passage,0,-,0,-,4,Lu,Y,Åkarps norra,Åkn,Åkarp,Åk,58:00.0,58:00.0,58:00.0,59:00.0,58:00.0,59:00.0,0,0,0,-1,-1,1,0,0
1820771,1293,3/23/2019,RST,PENDEL,Passage,Sista,0,-,10,Avstigande av resande,23,Lu,Y,Vilhelmsborg,Vlb,Ystad,Y,52:00.0,56:00.0,58:00.0,53:00.0,52:00.0,53:00.0,0,0,4,5,1,1,2,0
1822721,1295,3/17/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,18,Lu,Y,Skurup,Srp,Rydsgård,Rdg,39:00.0,43:00.0,43:00.0,39:00.0,38:00.0,38:00.0,1,1,4,4,0,0,0,0
1828846,1289,3/3/2019,RST,PENDEL,Första,Passage,1,Påstigande av resande,0,-,1,Lu,Y,Lund c,Lu,Flackarp,Flp,53:00.0,54:00.0,55:00.0,53:00.0,,,,,1,2,1,0,1,
1833432,1293,3/25/2019,RST,PENDEL,Passage,Passage,0,-,0,-,4,Lu,Y,Åkarps norra,Åkn,Åkarp,Åk,58:00.0,58:00.0,58:00.0,58:00.0,58:00.0,58:00.0,0,0,0,0,0,0,0,0
1833436,1293,3/13/2019,RST,PENDEL,Passage,Passage,0,-,0,-,4,Lu,Y,Åkarps norra,Åkn,Åkarp,Åk,58:00.0,58:00.0,58:00.0,58:00.0,58:00.0,58:00.0,0,0,0,0,0,0,0,0
1835565,1293,3/20/2019,RST,PENDEL,Passage,Sista,0,-,10,Avstigande av resande,23,Lu,Y,Vilhelmsborg,Vlb,Ystad,Y,52:00.0,56:00.0,57:00.0,53:00.0,52:00.0,53:00.0,0,0,4,4,0,1,1,0
1851525,1293,3/23/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,10,Lu,Y,Triangeln,Tri,Hyllie,Hie,10:00.0,14:00.0,13:00.0,10:00.0,09:00.0,09:00.0,1,1,4,3,-1,0,-1,0
1851526,1293,3/11/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,10,Lu,Y,Triangeln,Tri,Hyllie,Hie,10:00.0,14:00.0,13:00.0,10:00.0,09:00.0,09:00.0,1,1,4,3,-1,0,-1,0
1851527,1293,3/9/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,10,Lu,Y,Triangeln,Tri,Hyllie,Hie,10:00.0,14:00.0,13:00.0,10:00.0,09:00.0,09:00.0,1,1,4,3,-1,0,-1,0
1851528,1293,3/15/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,10,Lu,Y,Triangeln,Tri,Hyllie,Hie,10:00.0,14:00.0,13:00.0,10:00.0,09:00.0,09:00.0,1,1,4,3,-1,0,-1,0
1854450,1293,3/6/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,18,Lu,Y,Skurup,Srp,Rydsgård,Rdg,39:00.0,43:00.0,46:00.0,42:00.0,38:00.0,41:00.0,1,1,4,4,0,3,3,0
1865734,1291,3/17/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,9,Lu,Y,Malmö c,M,Triangeln,Tri,07:00.0,09:00.0,35:00.0,33:00.0,05:00.0,05:00.0,2,28,2,2,0,26,26,26
1870985,1289,3/17/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,3,Lu,Y,Hjärup,Hjp,Åkarps norra,Åkn,57:00.0,58:00.0,00:00.0,59:00.0,56:00.0,58:00.0,1,1,1,1,0,2,2,0
1891958,1293,3/29/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,10,Lu,Y,Triangeln,Tri,Hyllie,Hie,10:00.0,14:00.0,17:00.0,14:00.0,09:00.0,13:00.0,1,1,4,3,-1,4,3,0
1894628,1293,3/5/2019,RST,PENDEL,Första,Passage,1,Påstigande av resande,0,-,1,Lu,Y,Lund c,Lu,Flackarp,Flp,53:00.0,54:00.0,55:00.0,53:00.0,,,,,1,2,1,0,1,
1901081,1293,3/23/2019,RST,PENDEL,Passage,Passage,0,-,0,-,5,Lu,Y,Åkarp,Åk,Burlöv,Blv,58:00.0,00:00.0,00:00.0,59:00.0,58:00.0,59:00.0,0,0,2,1,-1,1,0,0
1901082,1293,3/1/2019,RST,PENDEL,Passage,Passage,0,-,0,-,5,Lu,Y,Åkarp,Åk,Burlöv,Blv,58:00.0,00:00.0,00:00.0,59:00.0,58:00.0,59:00.0,0,0,2,1,-1,1,0,0
1901083,1293,3/22/2019,RST,PENDEL,Passage,Passage,0,-,0,-,5,Lu,Y,Åkarp,Åk,Burlöv,Blv,58:00.0,00:00.0,00:00.0,59:00.0,58:00.0,59:00.0,0,0,2,1,-1,1,0,0
1904750,1293,3/29/2019,RST,PENDEL,Passage,Passage,0,-,0,-,12,Lu,Y,Svågertorp,Stp,Lockarp,Lrp,18:00.0,19:00.0,23:00.0,21:00.0,18:00.0,21:00.0,0,0,1,2,1,3,4,0
1913968,1293,3/27/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,15,Lu,Y,Skabersjö,Saö,Svedala,Sea,24:00.0,28:00.0,28:00.0,25:00.0,24:00.0,25:00.0,0,0,4,3,-1,1,0,0
1917952,1295,3/24/2019,RST,PENDEL,Passage,Passage,0,-,0,-,6,Lu,Y,Burlöv,Blv,Arlöv,Al,00:00.0,01:00.0,01:00.0,00:00.0,00:00.0,00:00.0,0,0,1,1,0,0,0,0
1917953,1295,3/23/2019,RST,PENDEL,Passage,Passage,0,-,0,-,6,Lu,Y,Burlöv,Blv,Arlöv,Al,00:00.0,01:00.0,01:00.0,00:00.0,00:00.0,00:00.0,0,0,1,1,0,0,0,0
1920151,1293,3/4/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,18,Lu,Y,Skurup,Srp,Rydsgård,Rdg,39:00.0,43:00.0,51:00.0,47:00.0,38:00.0,47:00.0,1,0,4,4,0,8,8,-1
1922420,1293,3/4/2019,RST,PENDEL,Passage,Sista,0,-,10,Avstigande av resande,23,Lu,Y,Vilhelmsborg,Vlb,Ystad,Y,52:00.0,56:00.0,04:00.0,00:00.0,52:00.0,00:00.0,0,0,4,4,0,8,8,0
1923339,1293,3/16/2019,RST,PENDEL,Passage,Passage,0,-,0,-,12,Lu,Y,Svågertorp,Stp,Lockarp,Lrp,18:00.0,19:00.0,20:00.0,18:00.0,18:00.0,18:00.0,0,0,1,2,1,0,1,0
1923600,1293,3/20/2019,RST,PENDEL,Första,Passage,1,Påstigande av resande,0,-,1,Lu,Y,Lund c,Lu,Flackarp,Flp,53:00.0,54:00.0,55:00.0,53:00.0,,,,,1,2,1,0,1,
1923607,1293,3/12/2019,RST,PENDEL,Första,Passage,1,Påstigande av resande,0,-,1,Lu,Y,Lund c,Lu,Flackarp,Flp,53:00.0,54:00.0,55:00.0,53:00.0,,,,,1,2,1,0,1,
1923608,1293,3/7/2019,RST,PENDEL,Första,Passage,1,Påstigande av resande,0,-,1,Lu,Y,Lund c,Lu,Flackarp,Flp,53:00.0,54:00.0,55:00.0,53:00.0,,,,,1,2,1,0,1,
1923609,1293,3/21/2019,RST,PENDEL,Första,Passage,1,Påstigande av resande,0,-,1,Lu,Y,Lund c,Lu,Flackarp,Flp,53:00.0,54:00.0,55:00.0,53:00.0,,,,,1,2,1,0,1,
1923610,1293,3/11/2019,RST,PENDEL,Första,Passage,1,Påstigande av resande,0,-,1,Lu,Y,Lund c,Lu,Flackarp,Flp,53:00.0,54:00.0,55:00.0,53:00.0,,,,,1,2,1,0,1,
1923611,1293,3/19/2019,RST,PENDEL,Första,Passage,1,Påstigande av resande,0,-,1,Lu,Y,Lund c,Lu,Flackarp,Flp,53:00.0,54:00.0,55:00.0,53:00.0,,,,,1,2,1,0,1,
1923612,1293,3/9/2019,RST,PENDEL,Första,Passage,1,Påstigande av resande,0,-,1,Lu,Y,Lund c,Lu,Flackarp,Flp,53:00.0,54:00.0,55:00.0,53:00.0,,,,,1,2,1,0,1,
1923613,1293,3/13/2019,RST,PENDEL,Första,Passage,1,Påstigande av resande,0,-,1,Lu,Y,Lund c,Lu,Flackarp,Flp,53:00.0,54:00.0,55:00.0,53:00.0,,,,,1,2,1,0,1,
1923614,1293,3/15/2019,RST,PENDEL,Första,Passage,1,Påstigande av resande,0,-,1,Lu,Y,Lund c,Lu,Flackarp,Flp,53:00.0,54:00.0,55:00.0,53:00.0,,,,,1,2,1,0,1,
1923615,1293,3/18/2019,RST,PENDEL,Första,Passage,1,Påstigande av resande,0,-,1,Lu,Y,Lund c,Lu,Flackarp,Flp,53:00.0,54:00.0,55:00.0,53:00.0,,,,,1,2,1,0,1,
1923616,1293,3/27/2019,RST,PENDEL,Första,Passage,1,Påstigande av resande,0,-,1,Lu,Y,Lund c,Lu,Flackarp,Flp,53:00.0,54:00.0,55:00.0,53:00.0,,,,,1,2,1,0,1,
1925237,1293,3/16/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,22,Lu,Y,Svarte,Ste,Vilhelmsborg,Vlb,51:00.0,52:00.0,53:00.0,53:00.0,50:00.0,52:00.0,1,1,1,0,-1,2,1,0
1935861,1289,3/24/2019,RST,PENDEL,Passage,Passage,0,-,0,-,7,Lu,Y,Arlöv,Al,Malmö Godsbangård,Mgb,01:00.0,02:00.0,01:00.0,01:00.0,01:00.0,01:00.0,0,0,1,0,-1,0,-1,0
1950772,1295,3/3/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,18,Lu,Y,Skurup,Srp,Rydsgård,Rdg,39:00.0,43:00.0,42:00.0,39:00.0,38:00.0,38:00.0,1,1,4,3,-1,0,-1,0
1956466,1293,3/30/2019,RST,PENDEL,Passage,Passage,0,-,0,-,7,Lu,Y,Arlöv,Al,Malmö Godsbangård,Mgb,01:00.0,02:00.0,52:00.0,52:00.0,01:00.0,52:00.0,0,0,1,0,-1,51,50,0
1961871,1293,3/14/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,13,Lu,Y,Lockarp,Lrp,Oxie,Ox,19:00.0,21:00.0,23:00.0,22:00.0,19:00.0,22:00.0,0,0,2,1,-1,3,2,0
1966516,1295,3/30/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,11,Lu,Y,Hyllie,Hie,Svågertorp,Stp,15:00.0,18:00.0,17:00.0,15:00.0,14:00.0,13:00.0,1,2,3,2,-1,0,-1,1
1970798,1295,3/31/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,22,Lu,Y,Svarte,Ste,Vilhelmsborg,Vlb,51:00.0,52:00.0,57:00.0,57:00.0,50:00.0,55:00.0,1,2,1,0,-1,6,5,1
1975511,1289,3/17/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,17,Lu,Y,Lemmeströ,Lmm,Skurup,Srp,34:00.0,38:00.0,37:00.0,33:00.0,34:00.0,33:00.0,0,0,4,4,0,-1,-1,0
1979818,1293,3/7/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,19,Lu,Y,Rydsgård,Rdg,Rynge,Rye,44:00.0,47:00.0,51:00.0,49:00.0,43:00.0,48:00.0,1,1,3,2,-1,5,4,0
1984338,1289,3/31/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,2,Lu,Y,Flackarp,Flp,Hjärup,Hjp,54:00.0,56:00.0,56:00.0,55:00.0,54:00.0,55:00.0,0,0,2,1,-1,1,0,0
1985964,1295,3/30/2019,RST,PENDEL,Passage,Passage,0,-,0,-,20,Lu,Y,Rynge,Rye,Marsvinsholm,Mrh,47:00.0,47:00.0,47:00.0,47:00.0,47:00.0,47:00.0,0,0,0,0,0,0,0,0
1988593,1293,3/30/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,8,Lu,Y,Malmö Godsbangård,Mgb,Malmö c,M,02:00.0,05:00.0,54:00.0,52:00.0,02:00.0,52:00.0,0,0,3,2,-1,50,49,0
1991768,1295,3/31/2019,RST,PENDEL,Passage,Passage,0,-,0,-,12,Lu,Y,Svågertorp,Stp,Lockarp,Lrp,18:00.0,19:00.0,20:00.0,18:00.0,18:00.0,18:00.0,0,0,1,2,1,0,1,0
1996264,1293,3/16/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,21,Lu,Y,Marsvinsholm,Mrh,Svarte,Ste,47:00.0,50:00.0,52:00.0,,47:00.0,48:00.0,0,,3,,,0,2,
1999107,1293,3/11/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,16,Lu,Y,Svedala,Sea,Lemmeströ,Lmm,29:00.0,34:00.0,32:00.0,27:00.0,28:00.0,25:00.0,1,2,5,5,0,-2,-2,1
2002225,1295,3/17/2019,RST,PENDEL,Passage,Passage,0,-,0,-,20,Lu,Y,Rynge,Rye,Marsvinsholm,Mrh,47:00.0,47:00.0,47:00.0,47:00.0,47:00.0,47:00.0,0,0,0,0,0,0,0,0
2003835,1295,3/16/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,8,Lu,Y,Malmö Godsbangård,Mgb,Malmö c,M,02:00.0,05:00.0,02:00.0,00:00.0,02:00.0,00:00.0,0,0,3,2,-1,-2,-3,0
2003922,1291,3/10/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,9,Lu,Y,Malmö c,M,Triangeln,Tri,07:00.0,09:00.0,09:00.0,07:00.0,05:00.0,03:00.0,2,4,2,2,0,0,0,2
2004918,1293,3/14/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,18,Lu,Y,Skurup,Srp,Rydsgård,Rdg,39:00.0,43:00.0,43:00.0,40:00.0,38:00.0,39:00.0,1,1,4,3,-1,1,0,0
2010145,1291,3/17/2019,RST,PENDEL,Passage,Passage,0,-,0,-,20,Lu,Y,Rynge,Rye,Marsvinsholm,Mrh,47:00.0,47:00.0,13:00.0,13:00.0,47:00.0,13:00.0,0,0,0,0,0,26,26,0
2013333,1295,3/2/2019,RST,PENDEL,Passage,Passage,0,-,0,-,20,Lu,Y,Rynge,Rye,Marsvinsholm,Mrh,47:00.0,47:00.0,47:00.0,46:00.0,47:00.0,46:00.0,0,0,0,1,1,-1,0,0
